LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01001915,1569,12.938,7,0.05,-0.742,0.697
E01001916,1385,6.849,9,0.024,-1.634,0.214
E01001917,1427,15.582,6,0.111,-0.102,0.214
E01001918,1529,10.542,8,0.075,-0.347,0.133
E01001919,1576,8.626,8,0.052,-0.876,0.429
E01001920,1467,31.102,3,0.196,0.601,0.626
E01001921,1572,19.082,5,0.092,-0.681,1.089
E01001922,1603,12.078,7,0.062,-1.334,0.855
E01001923,1557,17.635,6,0.099,-0.796,0.663
E01001924,1735,9.181,8,0.033,-1.433,0.504
E01001925,1695,9.021,8,0.047,-1.156,0.142
E01001926,1427,6.578,9,0.033,-1.029,0.035
E01001927,1473,9.468,8,0.043,-0.868,0.188
E01001928,1614,20.584,5,0.13,-0.039,0.706
E01001929,1338,12.281,7,0.07,-0.489,0.27
E01001930,1851,31.034,3,0.158,0.736,0.635
E01001931,1307,18.489,5,0.098,0.166,0.236
E01001932,1570,25.92,4,0.128,0.014,1.034
E01001933,1292,20.872,5,0.123,-0.563,0.685
E01001934,1686,23.795,4,0.225,-0.279,-0.66
E01001935,2047,16.976,6,0.112,-0.217,0.469
E01001937,1866,13.307,7,0.06,-0.703,0.647
E01001938,1579,27.478,3,0.222,-0.174,0.505
E01001939,2554,21.07,5,0.168,-0.398,0.017
E01001940,1518,34.773,2,0.225,0.572,1.049
E01001941,1745,30.224,3,0.155,0.643,0.856
E01001942,1821,24.159,4,0.142,0.248,0.706
E01001943,1959,33.034,3,0.162,0.373,1.387
E01001944,1739,43.021,2,0.304,0.624,-0.222
E01001945,1647,25.101,4,0.167,0.113,0.803
E01001946,1564,21.955,4,0.164,0.337,-1.041
E01001947,1472,37.614,2,0.281,0.673,0.362
E01001948,1939,14.586,6,0.084,-0.665,0.081
E01001949,1509,8.026,9,0.041,-0.873,0.058
E01001950,1505,9.705,8,0.035,-0.698,0.547
E01001951,1623,17.389,6,0.089,-0.245,0.625
E01001952,1643,15.715,6,0.087,0.093,-0.128
E01001953,1279,22.092,4,0.145,0.329,0.475
E01001954,1488,27.358,3,0.199,0.402,0.717
E01001955,1961,37.986,2,0.268,0.327,1.072
E01001956,1534,27.284,3,0.188,-0.101,0.67
E01001957,1574,38.797,2,0.299,0.35,0.071
E01001958,1604,38.666,2,0.314,0.287,-0.127
E01001959,1663,40.084,2,0.249,0.657,0.832
E01001960,1987,18.411,5,0.124,-0.122,0.291
E01001961,1500,41.84,2,0.331,0.442,0.564
E01001962,1804,15.503,6,0.109,-0.619,0.224
E01001963,1818,8.6,9,0.055,-0.909,0.134
E01001964,1662,14.801,6,0.077,-0.772,0.423
E01001965,1705,11.266,8,0.083,-0.701,-0.497
